symbol,publishdate(min),nav_cur4
000135,20170915,1.0875
000135,20170917,2.1624
000135,20170918,1.0932
000135,20170919,1.1823
000135,20170920,1.1843
000135,20170921,1.2115
000135,20170922,1.2131
000135,20170924,2.4263
000135,20170925,1.3996
000135,20170926,1.593
000135,20170927,1.3338
000135,20170929,1.25
000135,20171008,11.2522
000135,20171009,1.2451
000135,20171010,1.206
000135,20171011,1.2169
000135,20171012,1.0971
000135,20171013,1.1936
000135,20171015,2.4032
000135,20171016,1.1659
000135,20171017,1.1795
000135,20171018,1.1509
000135,20171019,1.1648
000135,20171020,1.1658
000135,20171022,2.3319
000135,20171023,1.1616
000135,20171024,1.1599
000135,20171025,1.1803
000135,20171026,1.2839
000135,20171027,1.1505
000135,20171029,2.3015
000135,20171030,1.1508
000135,20171031,1.1453
000135,20171101,1.1512
000135,20171102,1.1596
000135,20171103,1.154
000135,20171105,2.2922
000135,20171106,1.1383
000135,20171107,1.1541
000135,20171108,1.1559
000135,20171109,1.1391
000135,20171110,1.545
000135,20171112,2.2701
000135,20171113,1.1736
000135,20171114,1.1684
000135,20171115,1.1696
000135,20171116,1.1682
000135,20171117,1.1697
000135,20171119,2.3399
000135,20171120,1.164
000198,20170701,1.1251
000198,20170702,1.1249
000198,20170702,2.25
000198,20170703,1.1191
000198,20170704,1.1125
000198,20170705,1.1099
000198,20170706,1.1067
000198,20170707,1.1047
000198,20170708,1.1041
000198,20170709,1.1025
000198,20170709,2.2065
000198,20170710,1.1026
000198,20170711,1.1012
000198,20170712,1.1014
000198,20170713,1.1013
000198,20170714,1.1023
000198,20170715,1.0987
000198,20170716,1.0976
000198,20170716,2.1963
000198,20170717,1.1017
000198,20170718,1.0987
000198,20170719,1.1012
000198,20170720,1.0975
000198,20170721,1.0872
000198,20170722,1.0856
000198,20170723,1.0854
000198,20170723,2.171
000198,20170724,1.0868
000198,20170725,1.0894
000198,20170726,1.085
000198,20170727,1.0884
000198,20170728,1.0923
000198,20170729,1.0852
000198,20170730,1.0851
000198,20170730,2.1703
000198,20170731,1.0741
000198,20170801,1.0854
000198,20170802,1.0691
000198,20170803,1.0745
000198,20170804,1.0813
000198,20170805,1.0718
000198,20170806,1.0717
000198,20170806,2.1435
000198,20170807,1.0668
000198,20170808,1.0732
000198,20170809,1.0619
000198,20170810,1.0491
000198,20170811,1.0324
000198,20170812,1.0277
000198,20170813,1.0272
000198,20170813,2.055
000198,20170814,1.0485
000198,20170815,1.019
000198,20170816,1.0508
000198,20170817,1.0858
000198,20170818,1.0869
000198,20170819,1.0866
000198,20170820,1.0847
000198,20170820,2.1712
000198,20170821,1.1146
000198,20170822,1.0985
000198,20170823,1.0886
000198,20170824,1.0865
000198,20170825,1.0893
000198,20170826,1.0849
000198,20170827,1.0849
000198,20170827,2.1698
000198,20170828,1.0885
000198,20170829,1.0883
000198,20170830,1.0843
000198,20170831,1.0901
000198,20170901,1.0989
000198,20170902,1.0863
000198,20170903,1.0862
000198,20170903,2.1725
000198,20170904,1.0843
000198,20170905,1.0842
000198,20170906,1.0823
000198,20170907,1.0807
000198,20170908,1.0797
000198,20170909,1.0772
000198,20170910,1.0771
000198,20170910,2.1543
000198,20170911,1.0776
000198,20170912,1.0825
000198,20170913,1.0767
000198,20170914,1.0694
000198,20170915,1.0775
000198,20170916,1.0674
000198,20170917,1.0653
000198,20170917,2.1327
000198,20170918,1.0745
000198,20170919,1.0628
000198,20170920,1.0616
000198,20170921,1.059
000198,20170922,1.0546
000198,20170923,1.0544
000198,20170924,1.0543
000198,20170924,2.1087
000198,20170925,1.053
000198,20170926,1.0454
000198,20170927,1.0513
000198,20170929,1.054
000198,20170930,1.0545
000198,20171002,1.0542
000198,20171003,1.0541
000198,20171004,1.054
000198,20171005,1.0538
000198,20171006,1.0537
000198,20171007,1.0536
000198,20171008,1.0535
000198,20171008,9.4858
000198,20171009,1.0607
000198,20171010,1.0739
000198,20171011,1.054
000198,20171012,1.0461
000198,20171013,1.0486
000198,20171014,1.0445
000198,20171015,1.0444
000198,20171015,2.0889
000198,20171016,1.0518
000198,20171017,1.0503
000198,20171018,1.0523
000198,20171019,1.0421
000198,20171020,1.054
000198,20171021,1.0414
000198,20171022,1.0413
000198,20171022,2.0827
000198,20171023,1.0421
000198,20171024,1.0432
000198,20171025,1.0418
