用户,日期,基金代码,基金名称,配置比例
47,2017-08-18,050025,博时标普500ETF联接QDII,0.2416
47,2017-07-01,050027,博时信用债纯债债券A,0.3321
47,2017-08-18,050027,博时信用债纯债债券A,0.3294
47,2017-07-01,160127,南方新兴消费增长分级股票,0.0518
47,2017-08-18,160127,南方新兴消费增长分级股票,0.1276
47,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1999
47,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0866
47,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0198
47,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0525
47,2017-07-01,260116,景顺长城核心竞争力混合A,0.0517
47,2017-08-18,000307,易方达黄金ETF联接A,0.0577
47,2017-08-18,110031,易方达恒生国企联接QDII,0.1912
48,2017-07-01,050025,博时标普500ETF联接QDII,0.3813
48,2017-08-18,050025,博时标普500ETF联接QDII,0.3449
48,2017-07-01,160127,南方新兴消费增长分级股票,0.08
48,2017-08-18,160127,南方新兴消费增长分级股票,0.0928
48,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.2853
48,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.1437
48,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0297
48,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0863
